feature_1,feature_2,feature_3,period,y
2021-01-04,Google,Tier1,24,46.5
2021-01-04,Google,Tier1,25,48
2021-01-04,Google,Tier1,26,49.5
2021-01-04,Google,Tier1,27,51
2021-01-04,Google,Tier1,28,52.5
2021-01-04,Google,Tier1,29,54
2021-01-04,Google,Tier1,30,55.5
2021-01-04,Google,Tier1,31,57
2021-01-04,Google,Tier1,32,58.5
2021-01-04,Google,Tier1,33,60
2021-01-04,Google,Tier1,34,61.5
2021-01-04,Google,Tier1,35,63
2021-01-04,Google,Tier1,36,64.5
2021-01-04,Google,Tier1,37,80
2021-01-04,Google,Tier1,38,81.5
2021-01-04,Google,Tier1,39,83
2021-01-04,Google,Tier1,40,84.5
2021-01-04,Google,Tier1,41,86
2021-01-04,Google,Tier1,42,87.5
2021-01-04,Google,Tier1,43,89
2021-01-04,Google,Tier1,44,90.5
2021-01-04,Google,Tier1,45,92
2021-01-04,Google,Tier1,46,93.5
2021-01-04,Google,Tier1,47,95
2021-01-04,Google,Tier1,48,96.5
2021-01-04,Google,Tier1,49,98
2021-01-04,Google,Tier1,50,99.5
2021-01-04,Google,Tier1,51,101
2021-01-04,Google,Tier1,52,102.5
2021-01-04,Google,Tier1,53,104
2021-01-04,Google,Tier1,54,105.5
2021-01-04,Google,Tier1,55,107
2021-01-04,Google,Tier1,89,121
2021-01-04,Google,US,1,2.7
2021-01-04,Google,US,2,4.59
2021-01-04,Google,US,3,6.03
2021-01-04,Google,US,4,7.33
2021-01-04,Google,US,5,8.63
2021-01-04,Google,US,6,9.74
2021-01-04,Google,US,7,10.71
2021-01-04,Google,US,8,11.71
2021-01-04,Google,US,9,12.76
2021-01-04,Google,US,10,13.59
2021-01-04,Google,US,11,14.32
2021-01-04,Google,US,12,15.05
2021-01-04,Google,US,13,15.78
2021-01-04,Google,US,14,16.58
2021-01-04,Google,US,15,17.29
2021-01-04,Google,US,16,17.97
2021-01-04,Google,US,17,18.57
2021-01-04,Google,US,18,19.25
2021-01-04,Google,US,19,19.9
2021-01-04,Google,US,20,20.44
2021-01-04,Google,US,21,21.06
2021-01-04,Google,US,22,21.73
2021-01-04,Google,US,23,22.34
2021-01-04,Google,US,24,22.88
2021-01-04,Google,US,25,23.44
2021-01-04,Google,US,26,23.94
2021-01-04,Google,US,27,24.51
2021-01-04,Google,US,28,25.02
2021-01-04,Google,US,29,25.49
2021-01-04,Google,US,30,26.01
2021-01-04,Google,US,31,26.51
2021-01-04,Google,US,32,26.96
2021-01-04,Google,US,33,27.43
2021-01-04,Google,US,34,27.96
2021-01-04,Google,US,35,28.39
2021-01-04,Google,US,36,28.84
2021-01-04,Google,US,37,29.23
2021-01-04,Google,US,38,29.62
2021-01-04,Google,US,39,29.98
2021-01-04,Google,US,40,30.38
2021-01-04,Google,US,41,30.7
2021-01-04,Google,US,42,31.06
2021-01-04,Google,US,43,31.35
2021-01-04,Google,US,44,31.71
2021-01-04,Google,US,45,32.05
2021-01-04,Google,US,46,32.39
2021-01-04,Google,US,47,32.72
2021-01-04,Google,US,48,33.04
2021-01-04,Google,US,49,33.4
2021-01-04,Google,US,50,33.7
2021-01-04,Google,US,51,33.98
2021-01-04,Google,US,52,34.26
2021-01-04,Google,US,53,35.24
2021-01-04,Google,US,54,35.56
2021-01-04,Google,US,55,35.96
2021-01-04,Google,US,56,36.26
2021-01-04,Google,US,57,36.56
2021-01-04,Google,US,58,36.85
2021-01-04,Google,US,59,37.11
2021-01-04,Google,US,60,37.37
2021-01-04,Google,US,61,37.69
2021-01-04,Google,US,62,37.95
2021-01-04,Google,US,63,38.18
2021-01-04,Google,US,64,38.41
2021-01-04,Google,US,65,38.62
2021-01-04,Google,US,66,38.89
2021-01-04,Google,US,67,39.19
2021-01-04,Google,US,68,39.44
2021-01-04,Google,US,69,39.7
2021-01-04,Google,US,70,39.95
2021-01-04,Google,US,71,40.16
2021-01-04,Google,US,72,40.42
2021-01-04,Google,US,73,40.63
2021-01-04,Google,US,74,41.02
2021-01-04,Google,US,75,41.26
2021-01-04,Google,US,76,41.47
2021-01-04,Google,US,77,41.72
2021-01-04,Google,US,78,41.91
2021-01-04,Google,US,79,42.23
2021-01-04,Google,US,80,42.42
2021-01-04,Google,US,81,42.62
2021-01-04,Google,US,82,42.87
2021-01-04,Google,US,83,43.09
2021-01-04,Google,US,84,43.29
2021-01-04,Google,US,85,43.54
2021-01-04,Google,US,86,43.75
2021-01-04,Google,US,87,43.94
2021-01-04,Google,US,88,44.15
2021-01-04,Google,US,89,44.33
2021-01-04,Google,US,90,44.5
2021-01-04,Google,US,91,44.68
2021-01-04,Google,US,92,44.87
2021-01-04,Google,US,93,45.1
2021-01-04,Google,US,94,45.31
2021-01-04,Google,US,95,45.49
2021-01-04,Google,US,96,45.68
2021-01-04,Google,US,97,45.86
2021-01-04,Google,US,98,46.02
2021-01-04,Google,US,99,46.18
2021-01-04,Google,US,100,46.36
2021-01-04,Google,US,101,46.56
2021-01-04,Google,US,102,46.73
2021-01-04,Google,US,103,46.89
2021-01-04,Google,US,104,47.05
2021-01-04,Google,US,105,47.77
2021-01-04,Google,US,106,47.99
2021-01-04,Google,US,107,48.29
2021-01-04,Google,US,108,48.46
2021-01-04,Organic,Arab,1,2
2021-01-04,Organic,Arab,2,3
2021-01-04,Organic,Arab,3,3.75
2021-01-04,Organic,Arab,4,4.13
2021-01-04,Organic,Arab,5,4.5
2021-01-04,Organic,Arab,6,4.88
2021-01-04,Organic,Arab,7,5.25
2021-01-04,Organic,Arab,8,5.63
2021-01-04,Organic,Arab,10,6.38
2021-01-04,Organic,Arab,11,7.13
2021-01-04,Organic,Arab,12,7.88
2021-01-04,Organic,Arab,13,8.63
2021-01-04,Organic,Arab,14,9.38
2021-01-04,Organic,Arab,15,10.13
2021-01-04,Organic,Arab,16,10.88
2021-01-04,Organic,Arab,17,11.63
2021-01-04,Organic,Arab,18,12.38
2021-01-04,Organic,Arab,19,13.13
2021-01-04,Organic,Arab,20,13.88
2021-01-04,Organic,Arab,21,14.63
2021-01-04,Organic,Arab,22,15.38
2021-01-04,Organic,Arab,23,15.75
2021-01-04,Organic,Arab,24,16.5
2021-01-04,Organic,Arab,25,16.88
2021-01-04,Organic,Arab,26,17.25
2021-01-04,Organic,Arab,27,17.63
2021-01-04,Organic,Arab,28,18
2021-01-04,Organic,Arab,29,18.38
2021-01-04,Organic,Arab,30,18.75
2021-01-04,Organic,Arab,31,19.13
2021-01-04,Organic,Arab,32,19.5
2021-01-04,Organic,Arab,33,19.88
2021-01-04,Organic,Arab,34,20.25
2021-01-04,Organic,Arab,35,20.63
2021-01-04,Organic,Arab,36,21
2021-01-04,Organic,Arab,37,21.38
2021-01-04,Organic,Arab,38,21.75
2021-01-04,Organic,Arab,39,22.13
2021-01-04,Organic,Arab,40,22.5
2021-01-04,Organic,Arab,41,22.88
2021-01-04,Organic,Arab,42,23.25
2021-01-04,Organic,Arab,44,23.63
2021-01-04,Organic,Arab,50,24
2021-01-04,Organic,Arab,51,24.38
2021-01-04,Organic,Arab,52,24.75
2021-01-04,Organic,Arab,53,25.13
2021-01-04,Organic,Arab,56,25.5
2021-01-04,Organic,Arab,57,25.88
2021-01-04,Organic,Arab,58,26.25
2021-01-04,Organic,Arab,60,26.63
2021-01-04,Organic,Arab,61,27
2021-01-04,Organic,Arab,62,27.38
2021-01-04,Organic,Arab,63,27.75
2021-01-04,Organic,Arab,64,28.5
2021-01-04,Organic,Arab,65,28.88
2021-01-04,Organic,Arab,66,29.25
2021-01-04,Organic,Arab,67,29.63
2021-01-04,Organic,Arab,68,30
2021-01-04,Organic,Arab,69,30.38
2021-01-04,Organic,Arab,70,31.13
2021-01-04,Organic,Arab,71,31.88
2021-01-04,Organic,Arab,72,32.63
2021-01-04,Organic,Arab,73,33.38
2021-01-04,Organic,Arab,74,34.13
2021-01-04,Organic,Arab,75,34.88
2021-01-04,Organic,Arab,76,35.63
2021-01-04,Organic,Arab,77,36.38
2021-01-04,Organic,Arab,78,36.75
2021-01-04,Organic,Arab,80,37.5
2021-01-04,Organic,Arab,81,38.25
2021-01-04,Organic,Arab,82,39
2021-01-04,Organic,Arab,83,39.5
2021-01-04,Organic,Arab,84,40
2021-01-04,Organic,Arab,85,40.75
2021-01-04,Organic,Arab,86,41.25
2021-01-04,Organic,Arab,87,42
2021-01-04,Organic,Arab,88,42.75
2021-01-04,Organic,Arab,89,43.13
2021-01-04,Organic,Arab,94,43.5
2021-01-04,Organic,Arab,96,43.88
2021-01-04,Organic,Arab,97,44.25
2021-01-04,Organic,Arab,98,44.63
2021-01-04,Organic,Arab,106,45
2021-01-04,Organic,Arab,107,45.38
2021-01-04,Organic,Arab,108,45.75
2021-01-04,Organic,Asia,1,1.93
2021-01-04,Organic,Asia,2,4
2021-01-04,Organic,Asia,3,5.43
2021-01-04,Organic,Asia,4,6.86
2021-01-04,Organic,Asia,5,8.57
2021-01-04,Organic,Asia,6,9.57
2021-01-04,Organic,Asia,7,11.14
2021-01-04,Organic,Asia,8,11.93
2021-01-04,Organic,Asia,9,13.21
2021-01-04,Organic,Asia,10,14
2021-01-04,Organic,Asia,11,14.79
2021-01-04,Organic,Asia,12,15.57
2021-01-04,Organic,Asia,13,16.86
2021-01-04,Organic,Asia,14,19.93
2021-01-04,Organic,Asia,15,21
2021-01-04,Organic,Asia,16,22.07
2021-01-04,Organic,Asia,17,23.36
2021-01-04,Organic,Asia,18,24.64
2021-01-04,Organic,Asia,19,25.71
2021-01-04,Organic,Asia,20,27
2021-01-04,Organic,Asia,21,28.07
2021-01-04,Organic,Asia,22,29.14
2021-01-04,Organic,Asia,23,30.21
2021-01-04,Organic,Asia,24,31.29
2021-01-04,Organic,Asia,25,32.36
2021-01-04,Organic,Asia,26,33.21
2021-01-04,Organic,Asia,27,34.29
2021-01-04,Organic,Asia,28,35.36
2021-01-04,Organic,Asia,29,36.21
2021-01-04,Organic,Asia,30,37.07
2021-01-04,Organic,Asia,31,37.93
2021-01-04,Organic,Asia,32,39
2021-01-04,Organic,Asia,33,39.86
2021-01-04,Organic,Asia,34,40.71
2021-01-04,Organic,Asia,35,41.57
2021-01-04,Organic,Asia,36,42.64
2021-01-04,Organic,Asia,37,43.5
2021-01-04,Organic,Asia,38,44.36
2021-01-04,Organic,Asia,39,45.21
2021-01-04,Organic,Asia,40,45.79
2021-01-04,Organic,Asia,41,46.36
2021-01-04,Organic,Asia,42,46.93
2021-01-04,Organic,Asia,43,47.5
2021-01-04,Organic,Asia,44,48.07
2021-01-04,Organic,Asia,45,48.93
2021-01-04,Organic,Asia,46,50
2021-01-04,Organic,Asia,47,50.57
2021-01-04,Organic,Asia,48,51.14
2021-01-04,Organic,Asia,49,51.71
2021-01-04,Organic,Asia,50,52.29
2021-01-04,Organic,Asia,51,52.86
2021-01-04,Organic,Asia,52,53.43
2021-01-04,Organic,Asia,53,54.29
2021-01-04,Organic,Asia,54,54.86
2021-01-04,Organic,Asia,55,55.43
2021-01-04,Organic,Asia,56,56
2021-01-04,Organic,Asia,57,56.43
2021-01-04,Organic,Asia,58,56.86
2021-01-04,Organic,Asia,59,57.29
2021-01-04,Organic,Asia,60,57.71
2021-01-04,Organic,Asia,61,58.14
2021-01-04,Organic,Asia,62,58.57
2021-01-04,Organic,Asia,63,59
2021-01-04,Organic,Asia,64,59.64
2021-01-04,Organic,Asia,65,60.29
2021-01-04,Organic,Asia,66,60.71
2021-01-04,Organic,Asia,67,61.36
2021-01-04,Organic,Asia,68,62
2021-01-04,Organic,Asia,69,62.64
2021-01-04,Organic,Asia,70,63.29
2021-01-04,Organic,Asia,71,63.93
2021-01-04,Organic,Asia,72,64.86
2021-01-04,Organic,Asia,73,65.29
2021-01-04,Organic,Asia,74,65.71
2021-01-04,Organic,Asia,75,66.14
2021-01-04,Organic,Asia,76,66.79
2021-01-04,Organic,Asia,77,67.21
2021-01-04,Organic,Asia,78,69.64
2021-01-04,Organic,Asia,79,70.07
2021-01-04,Organic,Asia,80,70.79
2021-01-04,Organic,Asia,81,71.21
2021-01-04,Organic,Asia,82,71.93
2021-01-04,Organic,Asia,83,72.36
2021-01-04,Organic,Asia,84,72.79
2021-01-04,Organic,Asia,85,73.21
2021-01-04,Organic,Asia,86,73.64
2021-01-04,Organic,Asia,87,74.07
2021-01-04,Organic,Asia,88,74.5
2021-01-04,Organic,Asia,89,74.93
2021-01-04,Organic,Asia,90,75.36
2021-01-04,Organic,Asia,91,75.79
2021-01-04,Organic,Asia,92,76.21
2021-01-04,Organic,Asia,93,76.64
2021-01-04,Organic,Asia,94,77.36
2021-01-04,Organic,Asia,95,77.79
2021-01-04,Organic,Asia,96,78.21
2021-01-04,Organic,Asia,97,78.64
2021-01-04,Organic,Asia,98,79.07
2021-01-04,Organic,Asia,99,79.5
2021-01-04,Organic,Asia,100,79.93
2021-01-04,Organic,Asia,101,80.14
2021-01-04,Organic,Asia,102,80.36
2021-01-04,Organic,Asia,103,80.57
2021-01-04,Organic,Asia,104,80.79
2021-01-04,Organic,Asia,105,81
2021-01-04,Organic,Asia,106,81.21
2021-01-04,Organic,Asia,107,81.43
2021-01-04,Organic,Asia,108,81.64
2021-01-04,Organic,Europe,1,1.4
2021-01-04,Organic,Europe,2,2.5
2021-01-04,Organic,Europe,3,3.3
2021-01-04,Organic,Europe,4,3.9
2021-01-04,Organic,Europe,5,4.5
2021-01-04,Organic,Europe,6,5.1
2021-01-04,Organic,Europe,7,5.7
2021-01-04,Organic,Europe,8,6
2021-01-04,Organic,Europe,10,6.7
2021-01-04,Organic,Europe,23,7
2021-01-04,Organic,Europe,24,7.4
2021-01-04,Organic,Europe,36,7.8
2021-01-04,Organic,Europe,37,8.2
2021-01-04,Organic,Europe,38,8.6
2021-01-04,Organic,Europe,39,9
2021-01-04,Organic,Europe,40,9.4
2021-01-04,Organic,Europe,41,9.8
2021-01-04,Organic,Europe,42,10.2
2021-01-04,Organic,Europe,43,10.6
2021-01-04,Organic,Europe,44,11
2021-01-04,Organic,Europe,45,11.4
2021-01-04,Organic,Europe,46,11.8
2021-01-04,Organic,Europe,47,12.9
2021-01-04,Organic,Europe,48,13.3
2021-01-04,Organic,Europe,49,13.7
2021-01-04,Organic,Europe,50,14.1
2021-01-04,Organic,Europe,51,14.5
2021-01-04,Organic,Europe,52,14.9
2021-01-04,Organic,Europe,53,15.3
2021-01-04,Organic,Europe,54,16.4
2021-01-04,Organic,Europe,55,16.8
2021-01-04,Organic,Europe,56,17.2
2021-01-04,Organic,Europe,57,17.6
2021-01-04,Organic,Europe,58,18
2021-01-04,Organic,Europe,59,18.4
2021-01-04,Organic,Europe,60,18.8
2021-01-04,Organic,Europe,61,19.2
2021-01-04,Organic,Europe,62,19.6
2021-01-04,Organic,Europe,63,20
2021-01-04,Organic,Europe,64,20.4
2021-01-04,Organic,Europe,65,20.8
2021-01-04,Organic,Europe,66,21.2
2021-01-04,Organic,Europe,67,21.6
2021-01-04,Organic,Europe,68,22
2021-01-04,Organic,Europe,69,22.4
2021-01-04,Organic,Europe,70,22.8
2021-01-04,Organic,Europe,71,23.2
2021-01-04,Organic,Europe,72,23.6
2021-01-04,Organic,Europe,73,24
2021-01-04,Organic,Europe,74,24.4
2021-01-04,Organic,Europe,75,24.8
2021-01-04,Organic,Europe,76,25.2
2021-01-04,Organic,Europe,77,25.6
2021-01-04,Organic,Europe,78,26
2021-01-04,Organic,Europe,79,26.4
2021-01-04,Organic,Europe,80,26.8
2021-01-04,Organic,Europe,81,27.2
2021-01-04,Organic,Europe,82,27.6
2021-01-04,Organic,Europe,83,28
2021-01-04,Organic,Europe,84,28.4
2021-01-04,Organic,Europe,85,28.8
2021-01-04,Organic,Europe,86,29.2
2021-01-04,Organic,Europe,87,29.6
2021-01-04,Organic,Europe,88,30
2021-01-04,Organic,Europe,89,30.4
2021-01-04,Organic,Europe,90,30.8
2021-01-04,Organic,Europe,91,31.2
2021-01-04,Organic,Europe,92,31.6
2021-01-04,Organic,Europe,93,32
2021-01-04,Organic,Europe,94,32.4
2021-01-04,Organic,Europe,95,32.8
2021-01-04,Organic,Europe,96,33.2
2021-01-04,Organic,Europe,97,33.6
2021-01-04,Organic,Europe,98,34
2021-01-04,Organic,Europe,99,34.4
2021-01-04,Organic,Europe,100,34.8
2021-01-04,Organic,Europe,101,35.2
2021-01-04,Organic,Europe,102,35.6
2021-01-04,Organic,Europe,103,36
2021-01-04,Organic,Europe,104,36.4
2021-01-04,Organic,Europe,105,36.8
2021-01-04,Organic,Europe,106,37.2
2021-01-04,Organic,Europe,107,37.6
2021-01-04,Organic,Europe,108,38
2021-01-04,Organic,Latam,1,1.69
2021-01-04,Organic,Latam,2,3.23
2021-01-04,Organic,Latam,3,4.77
2021-01-04,Organic,Latam,4,6.54
2021-01-04,Organic,Latam,5,8.08
2021-01-04,Organic,Latam,6,9.85
2021-01-04,Organic,Latam,7,11.38
2021-01-04,Organic,Latam,8,12.92
2021-01-04,Organic,Latam,9,14.46
2021-01-04,Organic,Latam,10,16
2021-01-04,Organic,Latam,11,16.85
2021-01-04,Organic,Latam,12,17.46
2021-01-04,Organic,Latam,13,18.08
2021-01-04,Organic,Latam,14,18.69
2021-01-04,Organic,Latam,15,19.31
2021-01-04,Organic,Latam,16,19.77
2021-01-04,Organic,Latam,17,20.23
2021-01-04,Organic,Latam,18,20.69
2021-01-04,Organic,Latam,19,21.15
2021-01-04,Organic,Latam,20,21.62
2021-01-04,Organic,Latam,21,22.08
2021-01-04,Organic,Latam,22,22.54
2021-01-04,Organic,Latam,23,23
2021-01-04,Organic,Latam,24,23.23
2021-01-04,Organic,Latam,25,23.46
2021-01-04,Organic,Latam,26,23.69
2021-01-04,Organic,Latam,62,24
2021-01-04,Organic,Latam,63,24.31
2021-01-04,Organic,Latam,64,24.62
2021-01-04,Organic,Latam,66,24.92
2021-01-04,Organic,Latam,67,25.23
2021-01-04,Organic,Latam,68,25.54
2021-01-04,Organic,Latam,69,25.85
2021-01-04,Organic,Latam,70,26.15
2021-01-04,Organic,Latam,71,26.46
2021-01-04,Organic,Latam,72,26.77
2021-01-04,Organic,Latam,73,27.08
2021-01-04,Organic,Latam,74,27.38
2021-01-04,Organic,Latam,75,27.69
2021-01-04,Organic,Latam,76,28
2021-01-04,Organic,Latam,77,28.31
2021-01-04,Organic,Latam,78,28.62
2021-01-04,Organic,Latam,79,28.92
2021-01-04,Organic,Latam,80,29.23
2021-01-04,Organic,Latam,81,29.54
2021-01-04,Organic,Latam,82,29.85
2021-01-04,Organic,Latam,83,30.15
2021-01-04,Organic,Latam,84,30.46
2021-01-04,Organic,Latam,85,30.77
2021-01-04,Organic,Latam,86,31.08
2021-01-04,Organic,Latam,87,31.38
2021-01-04,Organic,Latam,88,31.69
2021-01-04,Organic,Latam,89,32
2021-01-04,Organic,Latam,90,32.31
2021-01-04,Organic,Latam,91,32.62
2021-01-04,Organic,Latam,92,32.92
2021-01-04,Organic,Latam,93,33.23
2021-01-04,Organic,Latam,94,33.54
2021-01-04,Organic,Latam,95,33.85
2021-01-04,Organic,Latam,96,34.15
2021-01-04,Organic,Latam,97,34.46
2021-01-04,Organic,Latam,98,34.77
2021-01-04,Organic,Latam,99,35.08
2021-01-04,Organic,Latam,100,35.38
2021-01-04,Organic,Latam,101,35.69
2021-01-04,Organic,Latam,102,36
2021-01-04,Organic,Latam,103,36.31
2021-01-04,Organic,Latam,104,36.62
2021-01-04,Organic,Latam,105,36.92
2021-01-04,Organic,Latam,106,37.23
2021-01-04,Organic,Latam,107,37.54
2021-01-04,Organic,Latam,108,37.85
2021-01-04,Organic,Other,1,1.91
2021-01-04,Organic,Other,2,2.83
2021-01-04,Organic,Other,3,3.55
2021-01-04,Organic,Other,4,4.4
2021-01-04,Organic,Other,5,5.21
2021-01-04,Organic,Other,6,5.93
2021-01-04,Organic,Other,7,6.57
2021-01-04,Organic,Other,8,7.2
2021-01-04,Organic,Other,9,7.77
2021-01-04,Organic,Other,10,8.37
2021-01-04,Organic,Other,11,9.48
2021-01-04,Organic,Other,12,10.03
2021-01-04,Organic,Other,13,10.48
2021-01-04,Organic,Other,14,11.17
2021-01-04,Organic,Other,15,11.68
2021-01-04,Organic,Other,16,12.28
2021-01-04,Organic,Other,17,13.07
2021-01-04,Organic,Other,18,13.61
2021-01-04,Organic,Other,19,14.13
2021-01-04,Organic,Other,20,14.52
2021-01-04,Organic,Other,21,14.87
2021-01-04,Organic,Other,22,15.25
2021-01-04,Organic,Other,23,15.61
2021-01-04,Organic,Other,24,15.88
2021-01-04,Organic,Other,25,16.28
2021-01-04,Organic,Other,26,16.64
2021-01-04,Organic,Other,27,17
2021-01-04,Organic,Other,28,17.23
2021-01-04,Organic,Other,29,17.52
2021-01-04,Organic,Other,30,17.81
2021-01-04,Organic,Other,31,18.2
2021-01-04,Organic,Other,32,18.49
2021-01-04,Organic,Other,33,18.88
2021-01-04,Organic,Other,34,19.17
2021-01-04,Organic,Other,35,19.47
2021-01-04,Organic,Other,36,19.83
2021-01-04,Organic,Other,37,20.19
2021-01-04,Organic,Other,38,20.59
2021-01-04,Organic,Other,39,20.95
2021-01-04,Organic,Other,40,21.25
2021-01-04,Organic,Other,41,21.89
2021-01-04,Organic,Other,42,22.13
2021-01-04,Organic,Other,43,22.33
2021-01-04,Organic,Other,44,22.53
2021-01-04,Organic,Other,45,22.69
2021-01-04,Organic,Other,46,22.85
2021-01-04,Organic,Other,47,23.01
2021-01-04,Organic,Other,48,23.17
2021-01-04,Organic,Other,49,23.33
2021-01-04,Organic,Other,50,23.49
2021-01-04,Organic,Other,51,23.68
2021-01-04,Organic,Other,52,23.84
2021-01-04,Organic,Other,53,24.37
2021-01-04,Organic,Other,54,24.56
2021-01-04,Organic,Other,55,24.75
2021-01-04,Organic,Other,56,24.93
2021-01-04,Organic,Other,57,25.12
2021-01-04,Organic,Other,58,25.31
2021-01-04,Organic,Other,59,25.49
2021-01-04,Organic,Other,60,25.68
2021-01-04,Organic,Other,61,25.87
2021-01-04,Organic,Other,62,25.99
2021-01-04,Organic,Other,63,26.11
2021-01-04,Organic,Other,64,26.23
2021-01-04,Organic,Other,65,26.4
2021-01-04,Organic,Other,66,26.57
2021-01-04,Organic,Other,67,26.69
2021-01-04,Organic,Other,68,26.87
2021-01-04,Organic,Other,69,27.36
2021-01-04,Organic,Other,70,27.48
2021-01-04,Organic,Other,71,27.6
2021-01-04,Organic,Other,72,27.72
2021-01-04,Organic,Other,73,27.84
2021-01-04,Organic,Other,74,27.96
2021-01-04,Organic,Other,75,28.08
2021-01-04,Organic,Other,76,28.16
2021-01-04,Organic,Other,77,28.24
2021-01-04,Organic,Other,78,28.32
2021-01-04,Organic,Other,79,28.4
2021-01-04,Organic,Other,80,28.61
2021-01-04,Organic,Other,81,28.73
2021-01-04,Organic,Other,82,28.81
2021-01-04,Organic,Other,83,28.93
2021-01-04,Organic,Other,84,29.15
2021-01-04,Organic,Other,85,29.27
2021-01-04,Organic,Other,86,29.35
2021-01-04,Organic,Other,87,29.48
2021-01-04,Organic,Other,88,29.65
2021-01-04,Organic,Other,89,29.73
2021-01-04,Organic,Other,90,29.81
2021-01-04,Organic,Other,91,29.89
2021-01-04,Organic,Other,92,29.97
2021-01-04,Organic,Other,93,30.52
2021-01-04,Organic,Other,94,30.6
2021-01-04,Organic,Other,95,30.68
2021-01-04,Organic,Other,96,30.76
2021-01-04,Organic,Other,97,30.93
2021-01-04,Organic,Other,98,31.01
2021-01-04,Organic,Other,99,31.09
2021-01-04,Organic,Other,100,31.17
2021-01-04,Organic,Other,101,31.25
2021-01-04,Organic,Other,102,31.33
2021-01-04,Organic,Other,103,31.41
2021-01-04,Organic,Other,104,31.49
2021-01-04,Organic,Other,105,31.57
2021-01-04,Organic,Other,106,31.65
2021-01-04,Organic,Other,107,31.73
2021-01-04,Organic,Other,108,31.81
2021-01-04,Organic,RU,1,0
2021-01-04,Organic,RU,2,1.13
2021-01-04,Organic,RU,3,2.04
2021-01-04,Organic,RU,4,2.83
2021-01-04,Organic,RU,5,3.39
2021-01-04,Organic,RU,6,3.78
2021-01-04,Organic,RU,7,4.22
2021-01-04,Organic,RU,8,4.65
2021-01-04,Organic,RU,9,5.04
2021-01-04,Organic,RU,10,5.26
2021-01-04,Organic,RU,11,5.48
2021-01-04,Organic,RU,12,5.7
2021-01-04,Organic,RU,13,5.91
2021-01-04,Organic,RU,14,6
2021-01-04,Organic,RU,17,6.22
2021-01-04,Organic,RU,21,6.35
2021-01-04,Organic,RU,22,6.48
2021-01-04,Organic,RU,23,6.74
2021-01-04,Organic,RU,24,7.04
2021-01-04,Organic,RU,25,7.35
2021-01-04,Organic,RU,26,7.65
2021-01-04,Organic,RU,27,7.87
2021-01-04,Organic,RU,28,8
2021-01-04,Organic,RU,29,8.13
2021-01-04,Organic,RU,35,8.26
2021-01-04,Organic,RU,36,8.39
2021-01-04,Organic,RU,37,8.52
2021-01-04,Organic,RU,38,8.65
2021-01-04,Organic,RU,39,8.78
2021-01-04,Organic,RU,40,8.91
2021-01-04,Organic,RU,41,9.04
2021-01-04,Organic,RU,42,9.17
2021-01-04,Organic,RU,43,9.43
2021-01-04,Organic,RU,44,9.7
2021-01-04,Organic,RU,45,9.96
2021-01-04,Organic,RU,46,10.09
2021-01-04,Organic,RU,47,10.22
2021-01-04,Organic,RU,48,10.35
2021-01-04,Organic,RU,49,10.48
2021-01-04,Organic,RU,50,10.7
2021-01-04,Organic,RU,51,10.91
2021-01-04,Organic,RU,52,11.22
2021-01-04,Organic,RU,53,11.43
2021-01-04,Organic,RU,54,11.65
2021-01-04,Organic,RU,55,11.91
2021-01-04,Organic,RU,56,12.04
2021-01-04,Organic,RU,57,12.17
